EVENT_NO,LAT,LONGT
16AD7024, 36.80861,-119.75418
16AD7060, 36.73048,-119.79496
16AD7086, 36.77936,-119.82209
16AD7130, 36.72949,-119.79387
16AD7181, 36.71917,-119.78125
16AD7210, 36.75034,-119.81196
16AD7351, 36.80861,-119.75418
16AD7369, 36.83336,-119.90181
16AD7374, 36.81578,-119.72726
16AD7376, 36.73174,-119.79818
16AD7377, 36.77924,-119.83549
16AD7379, 36.79410,-119.77231
16AD7404, 36.78645,-119.84435
16AD7426, 36.77942,-119.80862
16AD7477, 36.75446,-119.75401
16AD7504, 36.72208,-119.79675
16AD7572, 36.79410,-119.79052
16AD7781, 36.81225,-119.75413
16AD7885, 36.75747,-119.71827
16AD8047, 36.79410,-119.79052
16AD8119, 36.74319,-119.76928
16AD8179, 36.75773,-119.75447
16AD8472, 36.76484,-119.81313
16AD8490, 36.75744,-119.83554
16AD8612, 36.75746,-119.82912
16AD8670, 36.73589,-119.75456
16AD8786, 36.75770,-119.77251
16AD8820, 36.83869,-119.79026
16AD8827, 36.76502,-119.79055
16AD8896, 36.77190,-119.85333
16AD8925, 36.76496,-119.79953
16AD8956, 36.82232,-119.87046
16AD8976, 36.83703,-119.80834
16AD9028, 36.73228,-119.71841
16AD9102, 36.82313,-119.75415
16AD9248, 36.70598,-119.75468
16AD9248, 36.70598,-119.75468
16AD9264, 36.75236,-119.77247
16AD9293, 36.75770,-119.77251
16AD9553, 36.86085,-119.78366
16AD9581, 36.73230,-119.73193
16AD9621, 36.84476,-119.75676
16AD9860, 36.72862,-119.76808
16AD9962, 36.73593,-119.73635
16AD9970, 36.74321,-119.74547
16AD9977, 36.75026,-119.82210
16AE0031, 36.74774,-119.74319
16AE0037, 36.80639,-119.84443
16AE0045, 36.80822,-119.84441
16AE0104, 36.80828,-119.82638
16AE0112, 36.82322,-119.80800
16AE0146, 36.79376,-119.83537
16AE0152, 36.78650,-119.83543
16AE0168, 36.72955,-119.80124
16AE0195, 36.79376,-119.83537
16AE0217, 36.72753,-119.82213
16AE0226, 36.80081,-119.88943
16AE0228, 36.81551,-119.83084
16AE0253, 36.78141,-119.84439
16AE0276, 36.73384,-119.81292
16AE0275, 36.80822,-119.84441
16AE0275, 36.80822,-119.84441
16AE0278, 36.74685,-119.79052
